study,database,studyID,taxon,taxon_new,realm,climate,study_name,min_lat,max_lat,min_long,max_long,cent_lat,cent_long,mean_grain_m2,sd_grain_m2,extent_km2,start_year,end_year,n_years,duration,min_samp,max_samp,nsamp_same,sprich,sprich_range,Psprich_range,continent,ocean
bt_67,bt,67,birds,Birds,Terrestrial,Temperate,Animal Demography Unit - Coordinated Waterbird Counts (CWAC) (AfrOBIS),-34.72,-25.17,18.04,32.88,-29.824898550724637,25.522057971014494,NA,NA,843152.8,1994,2006,13,13,94,228,FALSE,65,57,0.8769,Africa,NA
bt_78,bt,78,benthos,Benthos,Marine,Temperate,IOW Macrozoobenthos monitoring Baltic Sea (1980-2005) (EurOBIS),54.03,55.25,11.06,14.51,54.52733333333333,12.622666666666666,0.09999999999999999,NA,12665.2,1980,2004,20,25,4,12,FALSE,209,192,0.9187,NA,Baltic Sea
bt_84,bt,84,marine plants,Plants,Marine,Temperate,Macroalgae of the Crimean coastal zone (Black Sea. 1967-2007),44.4882,44.6314,33.3771,33.5977,44.5679537037037,33.46470185185185,1,NA,146,1967,2005,5,39,7,27,FALSE,97,95,0.9794,Europe,NA
bt_85,bt,85,marine invertebrates,Invertebrates,Marine,Temperate,North Sea observations of Crustacea. Polychaeta. Echinodermata. Mollusca and some other groups between 1986 and 2003,51.6169,55.3067,2.67917,6.31806,53.08312572614108,3.984373029045643,NA,NA,61485.9,1992,2003,11,12,58,95,FALSE,340,255,0.75,NA,North Sea
bt_86,bt,86,marine plants,Plants,Marine,Temperate,Phytoplankton of the Ukrainian Black Sea shelf (1985-2005),45.4667,46.6,29.8167,31.4167,46.20552967032967,30.795418681318683,NA,NA,8773.5,1986,1998,5,13,11,37,FALSE,193,136,0.7047,NA,Black Sea
bt_90,bt,90,marine invertebrates,Invertebrates,Marine,Temperate,Zooplankton in the Bay of Biscay (1995-2004. yearly DEPM surveys),43.4218,46.125,-4.2767,-1.4277,45.16971,-2.4645332,NA,NA,59094.5,1995,2004,3,10,51,132,FALSE,62,21,0.3387,NA,Bay of Biscay
bt_92,bt,92,benthos,Benthos,Marine,Polar,Benthos of the White Sea - A database,64.67,65.59,38.3,39.64,64.84458333333333,38.971875,0.25,NA,3359.6,1981,1991,4,11,5,23,FALSE,170,165,0.9706,NA,White Sea
bt_97,bt,97,marine invertebrates,Invertebrates,Marine,Polar,Archives of the Arctic Seas Zooplankton (ARC),50.3333,86.4833,-179.767,173.667,72.81345,176.667,NA,NA,5909071.5,1934,1955,2,22,182,183,FALSE,272,140,0.5147,NA,Arctic Ocean
bt_99,bt,99,fish,Fish,Marine,Tropical,CSIRO Marine Data Warehouse (OBIS Australia),-20.9267,-17.4133,114.794,119.069,-19.73063149764943,117.34937743451981,NA,NA,86562.4,1982,1997,10,16,101,337,FALSE,584,556,0.9521,NA,Indian Ocean
bt_108,bt,108,birds,Birds,Marine,Temperate,Seabirds of the Southern and South Indian Ocean (Australian Antarctic Data Centre),-69.71,-31.93,56.11,148.47,-57.872293182365695,99.21971043122139,NA,NA,22695462,1985,2005,10,21,1317,6112,FALSE,108,93,0.8611,NA,Indian Ocean
bt_110,bt,110,benthos,Benthos,Marine,Temperate,Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by JNCC (EurOBIS),49.8147,60.7699,-7.19322,-0.903563,54.10704,-4.426256141414141,NA,NA,386393.9,1976,1995,13,20,36,107,FALSE,2466,1886,0.7648,NA,Irish Sea
bt_112,bt,112,fish,Fish,Marine,Temperate,NOAA Southeast Fishery Science Center (SEFSC) Commercial Pelagic Observer Program (POP) Data (SEFSC_POP),10.5,51.48,-97.26,-42.68,30.14206530555491,-78.17437162522306,NA,NA,17525478.6,1992,2005,14,14,6308,11208,FALSE,19,17,0.8947,NA,Atlantic Ocean
bt_113,bt,113,marine invertebrates,Invertebrates,Marine,Temperate,Southampton Oceanography Center Discovery Collections Midwater Database (collections from Discovery sailings - 1979 only year with furthest afield data),31.8633,60.2709,-35.9967,-0.891,40.865068484848486,-21.189134303030304,NA,NA,4948206.1,1971,1997,6,27,80,187,FALSE,929,674,0.7255,NA,Atlantic Ocean
bt_117,bt,117,marine invertebrates,Invertebrates,Marine,Temperate,South Western Pacific Regional OBIS Data Asteroid Subset (South Western Pacific OBIS),-52.01,-38.66,-179.96,179.98,-44.812748091603055,173.66165394402034,NA,NA,1542327.4,1963,2002,7,40,26,75,FALSE,64,57,0.8906,NA,Pacific Ocean
